,Liga,Teamname,Reputation (aus Spielerwerten)
850,NCAA,UMass Minutemen,62.57142857142858
851,Basketball Champions League Americas,CD Universidad de Concepción,62.54242000000001
855,NCAA,Old Dominion Monarchs,62.52857142857143
856,NCAA,Brown Bears,62.51428571428571
857,Liga Nacional Básquetbol,Club Ferro Carril Oeste,62.50553714285714
859,NCAA,New Hampshire Wildcats,62.42862142857143
860,NCAA,Loyola Chicago Ramblers,62.35714285714285
861,NCAA,Youngstown State Penguins,62.35333571428572
862,NCAA,Murray State Racers,62.34515142857143
863,NKL,BC Telsiai,62.32909142857143
866,A2 Ethniki Basket League,NEA Filadelfeia,62.32729857142857
868,NCAA,CSU Bakersfield Roadrunners,62.31428571428571
869,NCAA,Tennessee State Tigers,62.3
870,NCAA,UIC Flames,62.28503571428572
871,NKL,BC Zalgiris Kaunas 2,62.25887571428571
873,ABA League 2,HKK Siroki,62.25714285714285
874,NCAA,Chattanooga Mocs,62.25714285714285
876,NKL,BC Silute,62.22062428571429
878,Greek A2 Basketball Cup,Trikoupis Messolonghi BC,62.20351571428572
881,LNB ProB ,Saint-Chamond BVG,62.20320714285714
883,NCAA,New Mexico State Aggies,62.2
884,LNB ProB ,Denain Voltaire,62.17761571428571
886,NCAA,Austin Peay Governors,62.15714285714286
887,NCAA,Western Michigan Broncos,62.13191571428572
888,NCAA,Central Michigan Chippewas,62.10142142857143
889,NCAA,Oral Roberts Golden Eagles,62.06348142857144
890,LNB ProB ,JA Vichy-Clermont,62.05861428571429
892,NCAA,Albany Great Danes,62.03690714285715
893,NCAA,Buffalo Bulls,62.02073714285714
894,German ProA,Tigers Tübingen,62.01962285714286
897,Liga Nacional Básquetbol,Obras Basket,61.99353571428571
901,NKL,Mazeikiai M Basket,61.99041571428571
903,NCAA,Miami (OH) Redhawks,61.97992714285714
904,NCAA,Stephen F. Austin Lumberjacks,61.97142857142857
905,NCAA,Siena Saints,61.97025
906,NCAA,Green Bay Phoenix,61.96287285714285
907,ABA League 2,KK Sencur,61.95714285714286
909,NCAA,Southern Utah Thunderbirds,61.94285714285714
910,NCAA,UTSA Roadrunners,61.89104142857143
911,NCAA,Milwaukee Panthers,61.87005571428572
912,NCAA,Louisiana Tech Bulldogs,61.82769142857143
913,NCAA,NJIT Highlanders,61.79195857142857
914,NCAA,Robert Morris Colonials,61.73719857142856
915,Greek A2 Basketball Cup,Koroivos BC,61.73526142857143
918,Liga Nacional Básquetbol,Club Ciclista Olímpico,61.72602714285714
920,NCAA,SIU Edwardsville Cougars,61.71428571428571
921,LNB Chile,ABA Ancud,61.70059142857142
923,German ProA Pokal,Phoenix Hagen,61.68300000000001
926,NCAA,Southeast Missouri State Redhawks,61.61428571428571
927,NCAA,Colgate Raiders,61.61428571428571
928,NCAA,Army Black Knights,61.61428571428571
929,German ProA Pokal,Bayer Giants Leverkusen,61.60441571428571
932,NCAA,Northeastern Huskies,61.5852442857143
933,ABA League 2,OKK Spars,61.57142857142857
935,NCAA,Loyola (MD) Greyhounds,61.56591
936,NCAA,UTEP Miners,61.56201285714285
937,NCAA,Denver Pioneers,61.55714285714286
938,ABA League 2,KK Pelister-Bitola,61.51831
940,NCAA,Charlotte 49ers,61.5
941,LEB Oro,Bueno Arenas Albacete Basket,61.48631428571429
943,NCAA,Harvard Crimson,61.46629714285714
944,NCAA,Akron Zips,61.45835142857143
945,NCAA,Eastern Illinois Panthers,61.45714285714286
946,NCAA,Vermont Catamounts,61.42050142857143
947,NCAA,Marist Red Foxes,61.41574285714286
948,German ProA,RASTA Vechta,61.40253428571428
950,NCAA,Dartmouth Big Green,61.4
951,NCAA,Lafayette Leopards,61.38571428571429
952,NCAA,Florida International Panthers,61.35714285714285
953,NCAA,Rice Owls,61.35714285714285
954,NKL,Marijampoles Suduva-Mantinga,61.34998285714286
